strategy,labels_used,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
active,0,0.7740112994350282,0.009785597782875036,0.0,0.0,0.0,0.0,0.0,0.0
active,20,0.7853107344632768,0.009785597782874978,0.5,0.5,0.05128205128205129,0.04441155916843275,0.09206349206349207,0.07987140079624841
active,40,0.8135593220338984,0.02935679334862504,0.7380952380952381,0.25084889887744616,0.25641025641025644,0.1175019408963036,0.3700980392156863,0.13242100646313823
active,60,0.8813559322033898,0.016949152542372906,0.7700817700817701,0.052373862775627514,0.6666666666666666,0.11750194089630363,0.7090347923681257,0.06310511989354872
active,80,0.8870056497175142,0.019571195565750054,0.9259259259259259,0.12830005981991682,0.5384615384615384,0.0,0.6787878787878787,0.03674047167570344
active,100,0.8813559322033898,0.029356793348625024,0.7664835164835164,0.08364471070130951,0.6923076923076924,0.23076923076923075,0.7066312997347479,0.11446722102717144
active,120,0.9096045197740112,0.03528247456722261,0.8352272727272728,0.15694576496514923,0.7692307692307692,0.07692307692307694,0.7927286356821589,0.0666818887636841
active,140,0.9322033898305085,0.016949152542372906,0.8222222222222223,0.08552669065744806,0.8974358974358975,0.044411559168432785,0.8549096880131363,0.026278160326480705
active,160,0.9322033898305085,0.016949152542372878,0.8142857142857144,0.0377964473009227,0.8974358974358975,0.044411559168432785,0.853615520282187,0.03716279983369573
random,0,0.7796610169491526,0.0,0.16666666666666666,0.2886751345948129,0.025641025641025644,0.04441155916843275,0.044444444444444446,0.0769800358919501
random,20,0.7570621468926554,0.025890258163592323,0.3444444444444444,0.15030832509409647,0.07692307692307693,0.0,0.12314814814814816,0.01122625523424272
random,40,0.7796610169491526,0.029356793348625097,0.48484848484848486,0.5006882315714638,0.17948717948717952,0.19358549834027566,0.22777777777777777,0.21103799903580645
random,60,0.824858757062147,0.03528247456722261,0.7609427609427609,0.2241271278201026,0.38461538461538464,0.23076923076923078,0.46262626262626255,0.20012239903226509
random,80,0.8757062146892656,0.025890258163592375,0.8441558441558442,0.14461725617740315,0.5897435897435898,0.24727309643571682,0.6537763253449528,0.15871307672294116
random,100,0.8813559322033898,0.03389830508474581,0.7896825396825397,0.04180814981290773,0.6410256410256411,0.23500388179260712,0.6870435347628329,0.14704597361502972
random,120,0.9265536723163841,0.009785597782874978,0.9363636363636364,0.055297841184529226,0.717948717948718,0.044411559168432785,0.8113746157224418,0.026038446976796248
random,140,0.9209039548022598,0.01957119556574998,0.8261072261072261,0.07349425230373344,0.8205128205128206,0.0888231183368655,0.81990231990232,0.0454689772438716
random,160,0.9322033898305085,0.029356793348625072,0.8952991452991453,0.1168590505459429,0.7948717948717948,0.0444115591684327,0.8395986622073579,0.06116331779339765
